카테고리: 모든 카테고리
"Steam Machine: (25. 7. 14.~26. 7. 14., 미국)"

TOP
스팀,100
스팀 머신,87
기계,33
가격,22
수증기,20
비디오 게임,8
밸브 코퍼레이션,7
Steam Deck,6
비디오 게임 콘솔,5
개인용 컴퓨터,5
에스프레소 머신,4
에스프레소,4
플레이스테이션 5,3
엑스박스,3
세탁기,3
세척,3
게임 컨트롤러,2
기계 학습,2
Vapor steam cleaner,2
랜덤 액세스 메모리,1
AMD,1
스팀 컨트롤러,1
엑스박스 시리즈 X 및 시리즈 S,1
사전주문,1
AMD,1

RISING
사전주문,급등
Valve,급등
RDNA 3,급등
스팀 머신,+950%
가격,+900%
플레이스테이션 5,+750%
밸브 코퍼레이션,+750%
엑스박스 시리즈 X 및 시리즈 S,+750%
엑스박스 시리즈 X,+700%
프레임 레이트,+650%
AMD,+650%
스팀 컨트롤러,+600%
AMD,+600%
랜덤 액세스 메모리,+550%
엑스박스,+450%
게임 컨트롤러,+400%
비디오 게임 콘솔,+300%
스팀,+200%
개인용 컴퓨터,+90%
기계 학습,+90%
비디오 게임,+80%
Steam Deck,+60%

