카테고리: 모든 카테고리

지역,Samsung Health: (25. 7. 14.~26. 7. 14.)
Wyoming,100
District of Columbia,21
Kansas,16
California,15
Washington,14
New York,13
Massachusetts,13
Florida,12
Illinois,11
Utah,11
Virginia,11
Georgia,11
New Jersey,10
Hawaii,10
Pennsylvania,10
Nevada,10
Maryland,10
Arizona,10
Texas,10
Oregon,10
Colorado,10
Louisiana,9
Iowa,9
New Hampshire,9
Rhode Island,9
Ohio,9
Missouri,8
Connecticut,8
Delaware,8
North Carolina,8
New Mexico,8
Oklahoma,8
Alabama,8
Minnesota,8
Nebraska,8
Wisconsin,8
Tennessee,8
Idaho,7
Vermont,7
Michigan,7
Kentucky,7
Indiana,7
South Carolina,7
Montana,7
Alaska,7
South Dakota,6
North Dakota,6
Mississippi,6
Arkansas,6
West Virginia,6
Maine,6
