카테고리: 모든 카테고리

지역,Black Flag Resynced: (25. 7. 14.~26. 7. 14.)
Alaska,100
Kentucky,97
West Virginia,97
Montana,92
Idaho,91
Arkansas,90
Oklahoma,89
New Hampshire,88
Utah,87
Missouri,85
Tennessee,84
Indiana,84
Maine,84
North Dakota,82
Wyoming,82
Oregon,81
Iowa,80
Kansas,80
Alabama,77
Ohio,77
Nebraska,77
Nevada,77
Mississippi,77
Washington,77
Virginia,77
Rhode Island,76
Colorado,76
Michigan,75
Wisconsin,75
North Carolina,75
South Carolina,75
Arizona,74
Florida,74
New Mexico,73
Pennsylvania,73
Louisiana,70
Vermont,68
South Dakota,68
Delaware,66
Georgia,64
Maryland,64
Connecticut,63
Texas,63
Minnesota,62
Hawaii,62
Massachusetts,61
New Jersey,61
Illinois,58
California,57
New York,51
District of Columbia,40
