카테고리: 모든 카테고리

지역,Chrome Extensions: (25. 7. 14.~26. 7. 14.)
Wyoming,100
Kansas,38
California,24
Utah,20
New York,20
Washington,19
District of Columbia,18
Nevada,17
Virginia,17
Texas,17
New Jersey,17
Massachusetts,17
Colorado,16
North Dakota,16
Maryland,16
Florida,16
Arizona,16
Oregon,15
Missouri,15
New Mexico,15
Oklahoma,15
Pennsylvania,15
Connecticut,15
Louisiana,15
Illinois,15
Minnesota,15
Georgia,15
Vermont,15
Iowa,15
New Hampshire,14
Rhode Island,14
Tennessee,14
Arkansas,14
Indiana,14
North Carolina,14
Delaware,14
Alabama,14
Ohio,14
Michigan,13
Maine,13
Kentucky,13
Nebraska,13
Mississippi,13
Idaho,13
South Carolina,13
Wisconsin,12
Alaska,12
Montana,12
Hawaii,11
West Virginia,11
South Dakota,9
