카테고리: 모든 카테고리
"modern warfare: (25. 7. 20.~26. 7. 20., 미국)"

TOP
콜 오브 듀티,100
콜 오브 듀티: 모던 워페어,81
콜 오브 듀티: 모던 워페어 III,53
콜 오브 듀티: 모던 워페어 2,43
현대전,34
콜 오브 듀티: 모던 워페어 II 2022,32
콜 오브 듀티 4: 모던 워페어,31
Call of Duty: Modern Warfare,25
비디오 게임,22
2019년,19
콜 오브 듀티: 모던 워페어 3,13
플레이스테이션 5,12
엑스박스,11
전쟁,10
멀티플레이어 비디오 게임,7
콜 오브 듀티: 모던 워페어 4,7
플레이스테이션 4,7
Call of Duty: Modern Warfare Remastered,6
개인용 컴퓨터,6
콜 오브 듀티: 블랙 옵스 6,6
좀비,6
스팀,5
콜 오브 듀티: 워존 칼데라,5
콜 오브 듀티: 블랙 옵스 7,4

RISING
콜 오브 듀티: 모던 워페어 4,급등
콜 오브 듀티: 블랙 옵스 7,"+3,000%"
콜 오브 듀티 4: 모던 워페어,+180%
2019년,+80%
현대전,+40%

