카테고리: 모든 카테고리
"assassin's creed: (25. 7. 20.~26. 7. 20., 미국)"

TOP
어쌔신 크리드,100
어쌔신 크리드,33
어쌔신 크리드 섀도우스,19
어쌔신 크리드 오디세이,13
어쌔신 크리드 발할라,12
비디오 게임,12
어쌔신 크리드 IV: 블랙 플래그,12
Assassin's Creed Black Flag Resynced,7
어쌔신 크리드 미라지,6
어쌔신 크리드:오리진,4
어쌔신 크리드: 유니티,4
어쌔신 크리드 II,4
어쌔신 크리드 III,3
플레이스테이션 5,3
엑스박스,3
어쌔신 크리드: 신디케이트,2
어쌔신 크리드: 브라더후드,2
어쌔신 크리드,2
어쌔신 크리드: 로그,2
Assassin's Creed III Remastered,<1

RISING
Assassin's Creed Black Flag Resynced,급등
Assassin's Creed III Remastered,"+3,650%"
어쌔신 크리드,+200%
어쌔신 크리드 IV: 블랙 플래그,+180%
어쌔신 크리드: 로그,+70%
어쌔신 크리드: 유니티,+50%

