카테고리: 모든 카테고리
"creed black: (25. 7. 20.~26. 7. 20., 미국)"

TOP
어쌔신 크리드,100
어쌔신 크리드 IV: 블랙 플래그,70
Assassin's Creed Black Flag Resynced,37
어쌔신 크리드,12
비디오 게임,8
Creed,6
비디오 게임 리메이크,6
플레이스테이션 5,4
엑스박스,3
어쌔신 크리드 섀도우스,2
선박,2
어벤투스,2
크리드,2
스팀,2
오드콜로뉴,2
유비소프트,2
Ubisoft,2
Assassin's Creed Black Flag Resynced,1
사전주문,1
Assassin's Creed Black Flag Resynced,1
Assassin's Creed Black Flag Resynced,<1
Black Flag,<1

RISING
Assassin's Creed Black Flag Resynced,급등
Black Flag,급등
Assassin's Creed Black Flag Resynced,"+4,950%"
Assassin's Creed Black Flag Resynced,"+1,650%"
Assassin's Creed Black Flag Resynced,"+1,000%"
사전주문,+600%
어쌔신 크리드,+110%
비디오 게임 리메이크,+80%

