카테고리: 모든 카테고리
"black flag: (25. 7. 20.~26. 7. 20., 미국)"

TOP
기,100
어쌔신 크리드 IV: 블랙 플래그,71
어쌔신 크리드,56
검정,45
Assassin's Creed Black Flag Resynced,33
빨강,28
백색,17
미국의 국기,15
녹색,14
노랑,13
블랙 플래그,12
파랑,9
적기,6
비디오 게임 리메이크,6
어쌔신 크리드,5
백기,4
자주,4
Black American Heritage Flag,4
흑백,3
엑스박스 게임 패스,1
사전주문,1
LGBT,1
Ubisoft,1
Assassin's Creed Black Flag Resynced,1

RISING
Assassin's Creed Black Flag Resynced,급등
Assassin's Creed Black Flag Resynced,급등
사전주문,"+2,500%"
Ubisoft,"+1,150%"
LGBT,+850%
엑스박스 게임 패스,+550%
어쌔신 크리드,+400%
비디오 게임 리메이크,+250%
어쌔신 크리드,+140%
어쌔신 크리드 IV: 블랙 플래그,+90%

