카테고리: 모든 카테고리
"call duty: (25. 7. 20.~26. 7. 20., 미국)"

TOP
콜 오브 듀티,100
비디오 게임,11
콜 오브 듀티: 블랙 옵스 7,11
콜 오브 듀티: 모바일,6
콜 오브 듀티: 블랙 옵스 6,6
콜 오브 듀티: 워존 칼데라,5
플레이스테이션 5,5
엑스박스,5
Call of Duty: Black Ops,4
콜 오브 듀티: 모던 워페어,4
좀비,3
개인용 컴퓨터,3
콜 오브 듀티: 블랙 옵스,2
콜 오브 듀티: 모던 워페어 III,2
Call of Duty: Modern Warfare,2
콜 오브 듀티: 블랙 옵스 2,2
플레이스테이션,2
멀티플레이어 비디오 게임,2
플레이스테이션 4,2
Call of Duty Zombies,1
배틀필드 6,1

RISING
Call of Duty Zombies,급등
배틀필드 6,급등
콜 오브 듀티: 블랙 옵스 7,급등
멀티플레이어 비디오 게임,+60%
콜 오브 듀티: 모던 워페어,+50%
콜 오브 듀티: 블랙 옵스 2,+40%

