카테고리: 모든 카테고리
"god war: (25. 7. 20.~26. 7. 20., 미국)"

TOP
갓 오브 워,100
갓 오브 워 라그나로크,22
갓 오브 워,17
하느님,10
비디오 게임,9
전쟁,9
Kratos,6
Laufey,5
플레이스테이션 5,4
2018,4
갓 오브 워 III,4
신,3
그리스 신화,2
플레이스테이션,2
갓 오브 워 II,2
Atreus,2
아레스,2
플레이스테이션 4,2
비디오 게임 리메이크,1
갓 오브 워: 썬즈 오브 스파르타,1
레이베이,1
God of War Laufey,1
God of War Laufey,1
갓 오브 워: 썬즈 오브 스파르타,1
God of War,<1

RISING
갓 오브 워: 썬즈 오브 스파르타,급등
God of War Laufey,급등
God of War Laufey,급등
갓 오브 워: 썬즈 오브 스파르타,급등
갓 오브 워: 썬즈 오브 스파르타,급등
Laufey,급등
God of War,"+2,450%"
레이베이,"+2,100%"
비디오 게임 리메이크,+450%

