카테고리: 모든 카테고리
"galaxy fold: (25. 7. 27.~26. 7. 27., 미국)"

TOP
삼성 갤럭시,100
삼성 갤럭시 폴드,94
삼성 갤럭시 Z 시리즈,59
삼성전자,45
삼성,43
삼성 갤럭시 Z 폴드 7,42
휴대 전화,13
삼성 갤럭시 Z 폴드 6,8
삼성 갤럭시 Z 폴드 5,5
컴퓨터 모니터,4
삼성 갤럭시 Z 폴드 4,3
구글 픽셀,2
삼성 갤럭시 Z 플립,2
삼성 갤럭시 Z 폴드 7,2
Samsung Galaxy Z Flip 7 12/512gb,2
삼성 갤럭시 Z 플립 7,1
삼성 갤럭시 Z 폴드2,1
아이폰 17 프로,1
Pixel 10 Pro Fold,1
모토로라 모빌리티,1
아이폰 17,1
wide,1
갤럭시 S26 울트라 자급제 핑크 골드 256GB,<1
삼성 갤럭시 S26,<1
Samsung Galaxy Tab S8 Ultra 5g 14.6 태블릿,<1

RISING
삼성 갤럭시 Z 폴드 7,급등
삼성 갤럭시 Z 플립 7,급등
아이폰 17 프로,급등
Pixel 10 Pro Fold,급등
갤럭시 S26 울트라 자급제 핑크 골드 256GB,급등
삼성 갤럭시 S26,급등
모토로라 모빌리티,급등
Samsung Galaxy Z Flip 7 12/512gb,급등
"Samsung Galaxy Fold 18.5 센티미터 (7.3"") Android 9.0 4G USB C형 12 기가바이트 512 기가바이트 4380 밀리암페어 검정","+3,100%"
아이폰 17,"+2,800%"
삼성 갤럭시 Z 폴드 7,"+1,450%"
wide,"+1,050%"
삼성 갤럭시 Z 폴드2,+950%
Samsung Galaxy Tab S8 Ultra 5g 14.6 태블릿,+650%

