카테고리: 모든 카테고리
"samsung galaxy: (25. 7. 27.~26. 7. 27., 미국)"

TOP
삼성,100
삼성전자,90
삼성 갤럭시,75
휴대 전화,15
5세대 이동 통신,7
휴대용 시계,7
삼성 갤럭시 탭,7
삼성 갤럭시 워치 시리즈,5
삼성 갤럭시 S25,5
인도,5
2024,5
Samsung Galaxy S25 Ultra 12gb/512gb 6.9 SM-S938BZ,4
태블릿 컴퓨터,4
안드로이드,4
삼성 갤럭시 Z 시리즈,4
브라질,2
삼성 갤럭시 Z 폴드 7,2
문서화,2
삼성 갤럭시 S26,1
갤럭시 S26 울트라 자급제 핑크 골드 256GB,1
로이터,1
Reuters,1
오픈AI,1
삼성 갤럭시 A17,1
Samsung Galaxy S22 Ultra 5g 12gb 6.8 Dual Sim,1

RISING
삼성 갤럭시 S26,급등
갤럭시 S26 울트라 자급제 핑크 골드 256GB,급등
삼성 갤럭시 A17,급등
문서화,"+3,900%"
로이터,"+2,250%"
Reuters,"+2,250%"
Samsung Galaxy S22 Ultra 5g 12gb 6.8 Dual Sim,"+1,700%"
삼성 갤럭시 Z 폴드 7,"+1,300%"
오픈AI,+800%
브라질,+750%
인도,+300%
2024,+250%

