카테고리: 모든 카테고리
"fighting souls: (25. 7. 28.~26. 7. 28., 미국)"

TOP
Marvel Tokon Fighting Souls,100
비디오 게임,9
대전 격투 게임,7
소울시리즈,7
등장인물,7
플레이스테이션 5,7
마블 코믹스,3
플레이스테이션,3
개인용 컴퓨터,2
영혼,2
엑스박스,2
스팀,2
마블 라이벌즈,2
스파이더맨,2
다크 소울 3,2
다운로드 가능 콘텐츠,1
마블 울버린,1
울버린,1
Playstation Ps5 Invincible Vs,1
악당,<1
엑스맨,<1
에볼루션 챔피언십 시리즈,<1

RISING
마블 울버린,급등
울버린,급등
Playstation Ps5 Invincible Vs,급등
악당,급등
엑스맨,급등
에볼루션 챔피언십 시리즈,급등
Marvel Tokon Fighting Souls,+350%
플레이스테이션 5,+350%
스파이더맨,+200%
다운로드 가능 콘텐츠,+100%
엑스박스,+90%
플레이스테이션,+80%
개인용 컴퓨터,+60%

