카테고리: 모든 카테고리
"galaxy flip: (25. 7. 27.~26. 7. 27., 미국)"

TOP
삼성 갤럭시,100
삼성 갤럭시 Z 시리즈,65
삼성 갤럭시 Z 플립,61
삼성,44
삼성전자,40
Samsung Galaxy Z Flip 7 12/512gb,20
휴대 전화,20
삼성 갤럭시 Z 플립,17
삼성 갤럭시 Z 플립 7,12
삼성 갤럭시 Z 플립 6,8
클램셸 디자인,7
삼성 갤럭시 Z 플립 5,7
삼성 갤럭시 폴드,7
컴퓨터 모니터,4
삼성 갤럭시 Z 플립 4,3
삼성 갤럭시 Z 폴드 7,3
삼성 갤럭시 Z 플립 3,3
레이저,3
모토로라 모빌리티,2
국민보건서비스,1
Samsung Flip Pro Uhd Led,1

RISING
삼성 갤럭시 Z 플립 7,급등
국민보건서비스,급등
Samsung Flip Pro Uhd Led,급등
Samsung Galaxy Z Flip 7 12/512gb,급등
모토로라 모빌리티,급등
삼성 갤럭시 Z 폴드 7,"+1,100%"
삼성 갤럭시 Z 플립,+110%

