카테고리: 모든 카테고리
"google pixel: (25. 8. 21.~26. 8. 21., 미국)"

TOP
구글,100
구글,99
구글 픽셀,98
Google,42
휴대 전화,22
픽셀 10,14
픽셀 9,11
삼성전자,8
삼성,8
픽셀 8,7
휴대용 시계,7
픽셀 워치,6
안드로이드,6
픽셀,6
픽셀 7,5
픽셀 9a,5
화소,5
삼성 갤럭시,4
픽셀 6,4
Pixel 9 Pro,3
Google Pixel 10,3
Google Pixel 10a 휴대 전화,2
Google Pixel 10 Pro,2
아이폰 11 프로,1
아이폰 17,1

RISING
픽셀 10,급등
Google Pixel 10 Pro,급등
Google Pixel 10a 휴대 전화,급등
아이폰 17,급등
픽셀 10 프로 폴드,급등
아이폰 17 프로,급등
Google Pixel 9 Pro Xl 16gb,급등
Google Pixel 10,급등
Google Pixel Watch 4 스마트워치,급등
Techsuit CamShield Series Google Pixel 10 Pro XL,급등
아이폰 11 프로,"+1,900%"
픽셀,+110%
픽셀 9a,+40%

