카테고리: 모든 카테고리
"crazy taxi: (25. 9. 15.~26. 9. 15., 미국)"

TOP
크레이지 택시,100
크레이지 택시,35
비디오 게임,11
Taxi Garage,9
수레,8
택시,8
TAXI GARAGE,7
드림캐스트,6
Crazy Taxi: World Tour,6
엑스박스,5
콘서트 투어,4
세가,4
Crazy Taxi 3: High Roller,4
닌텐도 게임큐브,4
아케이드 게임,3
플레이스테이션 2,3
Crazy Taxi 2,3
플레이스테이션 5,3
사운드트랙,3
개인용 컴퓨터,3
스팀,2
롬 이미지,2
소닉,2
오프스프링,2

RISING
Crazy Taxi: World Tour,급등
Razor Crazy Cart XL Electric Scooter,급등
Crazy Taxi,급등
Crazy Taxi (Greatest Hits),급등
콘서트 투어,"+4,200%"
소닉 레이싱 크로스월드,+600%
비디오 게임 리메이크,+450%
플레이스테이션 5,+70%
엑스박스,+50%
크레이지 택시,+40%

